Wind Speed,Enercon.E112.4500,Vestas.V136.3450
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0.000001,0
1.08,0.000001,0
1.09,0.000001,0
1.1,0.000001,0
1.11,0.000001,0
1.12,0.000002,0
1.13,0.000002,0
1.14,0.000003,0
1.15,0.000003,0
1.16,0.000004,0
1.17,0.000004,0
1.18,0.000005,0
1.19,0.000005,0
1.2,0.000007,0
1.21,0.000008,0
1.22,0.000009,0
1.23,0.000011,0
1.24,0.000012,0
1.25,0.000013,0
1.26,0.000015,0
1.27,0.000016,0
1.28,0.000019,0
1.29,0.000022,0
1.3,0.000025,0
1.31,0.000028,0
1.32,0.00003,0
1.33,0.000033,0
1.34,0.000037,0
1.35,0.00004,0
1.36,0.000045,0
1.37,0.000052,0
1.38,0.000058,0
1.39,0.00006,0
1.4,0.000065,0
1.41,0.000072,0
1.42,0.000078,0
1.43,0.000085,0
1.44,0.000092,0
1.45,0.000106,0
1.46,0.000109,0
1.47,0.000118,0
1.48,0.000127,0
1.49,0.000137,0
1.5,0.000147,0
1.51,0.000158,0
1.52,0.00017,0
1.53,0.000182,0
1.54,0.000195,0
1.55,0.000218,0
1.56,0.000232,0
1.57,0.000247,0
1.58,0.000263,0
1.59,0.00028,0
1.6,0.000286,0
1.61,0.000303,0
1.62,0.000334,0
1.63,0.000354,0
1.64,0.000374,0
1.65,0.000395,0
1.66,0.000417,0
1.67,0.000424,0
1.68,0.000447,0
1.69,0.000471,0
1.7,0.000513,0
1.71,0.00054,0
1.72,0.000566,0
1.73,0.000594,0
1.74,0.000603,0
1.75,0.000632,0
1.76,0.000662,0
1.77,0.000693,0
1.78,0.000724,0
1.79,0.000781,0
1.8,0.000791,0
1.81,0.000825,0
1.82,0.000861,0
1.83,0.000898,0
1.84,0.000935,0
1.85,0.000974,0
1.86,0.001013,0
1.87,0.001054,0
1.88,0.001096,0
1.89,0.001138,0
1.9,0.001182,0
1.91,0.001227,0
1.92,0.001273,0
1.93,0.001319,0
1.94,0.001367,0
1.95,0.001416,0
1.96,0.001505,0
1.97,0.001557,0
1.98,0.00161,0
1.99,0.001664,0
2,0.00172,0
2.01,0.001734,0
2.02,0.001791,0
2.03,0.001893,0
2.04,0.001954,0
2.05,0.002015,0
2.06,0.002077,0
2.07,0.002141,0
2.08,0.002157,0
2.09,0.002222,0
2.1,0.002288,0
2.11,0.002355,0
2.12,0.002477,0
2.13,0.002548,0
2.14,0.00262,0
2.15,0.002693,0
2.16,0.00271,0
2.17,0.002785,0
2.18,0.002861,0
2.19,0.002938,0
2.2,0.003078,0
2.21,0.003158,0
2.22,0.003177,0
2.23,0.003259,0
2.24,0.003342,0
2.25,0.003427,0
2.26,0.003513,0
2.27,0.0036,0
2.28,0.003759,0
2.29,0.003778,0
2.3,0.00387,0
2.31,0.003962,0
2.32,0.004056,0
2.33,0.00415,0
2.34,0.004247,0
2.35,0.004344,0
2.36,0.004443,0
2.37,0.004623,0
2.38,0.004726,0
2.39,0.00483,0
2.4,0.004935,0
2.41,0.005042,0
2.42,0.00515,0
2.43,0.005172,0
2.44,0.005282,0
2.45,0.005482,0
2.46,0.005595,0
2.47,0.00571,0
2.48,0.005826,0
2.49,0.005944,0
2.5,0.005968,0.004348
2.51,0.006087,0.004464
2.52,0.006207,0.00458
2.53,0.006427,0.004696
2.54,0.006552,0.004812
2.55,0.006678,0.004928
2.56,0.006703,0.005043
2.57,0.00683,0.005159
2.58,0.006959,0.005275
2.59,0.007089,0.005391
2.6,0.00722,0.005507
2.61,0.007353,0.005623
2.62,0.007597,0.005739
2.63,0.007734,0.005855
2.64,0.007761,0.005971
2.65,0.0079,0.006087
2.66,0.00804,0.006203
2.67,0.008181,0.006319
2.68,0.008324,0.006435
2.69,0.008469,0.006551
2.7,0.008734,0.006667
2.71,0.008762,0.006783
2.72,0.00891,0.006899
2.73,0.009061,0.007014
2.74,0.009212,0.00713
2.75,0.009365,0.007246
2.76,0.00952,0.007362
2.77,0.009676,0.007478
2.78,0.009833,0.007594
2.79,0.009992,0.00771
2.8,0.010285,0.007826
2.81,0.010448,0.007942
2.82,0.010613,0.008058
2.83,0.010779,0.008174
2.84,0.010946,0.00829
2.85,0.010977,0.008406
2.86,0.011147,0.008522
2.87,0.011459,0.008638
2.88,0.011632,0.008754
2.89,0.011807,0.00887
2.9,0.011984,0.008986
2.91,0.012017,0.009101
2.92,0.012195,0.009217
2.93,0.012375,0.009333
2.94,0.012556,0.009449
2.95,0.012891,0.009565
2.96,0.013077,0.009681
2.97,0.013265,0.009797
2.98,0.013298,0.009913
2.99,0.013488,0.010029
3,0.013678,0.010145
3.01,0.013871,0.010643
3.02,0.014065,0.011142
3.03,0.014423,0.011641
3.04,0.014622,0.012139
3.05,0.014657,0.012638
3.06,0.014857,0.013136
3.07,0.015059,0.013635
3.08,0.015262,0.014133
3.09,0.015467,0.014632
3.1,0.015674,0.01513
3.11,0.015883,0.015629
3.12,0.016092,0.016128
3.13,0.016304,0.016626
3.14,0.016517,0.017125
3.15,0.016732,0.017623
3.16,0.016948,0.018122
3.17,0.017166,0.01862
3.18,0.017386,0.019119
3.19,0.017607,0.019617
3.2,0.01783,0.020116
3.21,0.018243,0.020614
3.22,0.01847,0.021113
3.23,0.0187,0.021612
3.24,0.018931,0.02211
3.25,0.019164,0.022609
3.26,0.019203,0.023107
3.27,0.019438,0.023606
3.28,0.019872,0.024104
3.29,0.020112,0.024603
3.3,0.020353,0.025101
3.31,0.020596,0.0256
3.32,0.020841,0.026099
3.33,0.020882,0.026597
3.34,0.021129,0.027096
3.35,0.021377,0.027594
3.36,0.021627,0.028093
3.37,0.02209,0.028591
3.38,0.022345,0.02909
3.39,0.022388,0.029588
3.4,0.022645,0.030087
3.41,0.022904,0.030586
3.42,0.023164,0.031084
3.43,0.023427,0.031583
3.44,0.023691,0.032081
3.45,0.024179,0.03258
3.46,0.024224,0.033078
3.47,0.024494,0.033577
3.48,0.024764,0.034075
