Name,Capacity (MW),Connection date,Region,ROI/NI,longitude,latitude
Lysaghtstown,87,2024-04-01 00:00:00,Cork,ROI,-8.219518,51.932987
Tullabeg,50,2024-04-01 00:00:00,Wexford,ROI,-6.386521,52.611875
Harlockstown,31.4,2024-04-01 00:00:00,Dublin,ROI,-6.414477,53.493698
Rosspile,95,2023-05-01 00:00:00,Wexford,ROI,-6.745933801,52.30383455
Gillinstown,95,2023-05-01 00:00:00,Meath,ROI,-6.45410656,53.65230846
Gallanstown,119,2023-07-01 00:00:00,Meath,ROI,-6.366216581,53.44957106
Blundelstown,60,2023-12-01 00:00:00,Meath,ROI,-6.8034,53.8743
Hortland PV,14,2022-07-01 00:00:00,Dunfirth,ROI,-6.784832495,53.38213258
Hilltown PV,10,2023-04-27 00:00:00,BALTRASNA,ROI,-6.433523732,53.57961468
Millvale North PV,8,2022-04-25 00:00:00,Ballybeg,ROI,-6.107514724,52.9959257
Blusheens Solar Park,7.98,2022-08-20 00:00:00,Wexford,ROI,-6.421016448,52.25027392
Ballycullane Solar Park (Coolroe),4.99,2022-10-05 00:00:00,Great Island,ROI,-6.845283726,52.26780247
Davidstown Solar,4.95,2022-10-31 00:00:00,Wexford,ROI,-6.628587506,52.47148106
Knockglass Solar Farm (Bawnmore extension),4,2022-11-21 00:00:00,Macroom,ROI,-8.914,51.95341667
Curraghmartin Solar Park,3.99,2022-07-26 00:00:00,Waterford,ROI,-7.216795207,52.28236228
Lurrig Solar Farm,3.6,2022-12-14 00:00:00,Midleton,ROI,-8.160190066,51.84296794
Greenfield PV,0.499,2023-09-07 00:00:00,Navan,ROI,,
Lurrig Solar Ext.,0.34,2023-07-21 00:00:00,Midleton,ROI,-8.160190066,51.84296794
Connacht GAA Solar PV,0.3,2023-03-30 00:00:00,Dalton,ROI,-8.85284873,53.7746398
Knockfee Farm Rooftop,0.18,2023-04-04 00:00:00,Cahir,ROI,-7.930130893,52.4675447
Roscrea Leisure Centre,0.12,2022-05-11 00:00:00,IKERRIN,ROI,-7.785919378,52.9564705
Thurles Leisure Centre Solar,0.1,2022-05-11 00:00:00,THURLES,ROI,-7.809975287,52.67844473
Hill Top Agri Solar PV,0.07,2023-04-25 00:00:00,BARRYMORE,ROI,-6.974329626,54.22606619
UCC Photovoltaic,0.05,Date unavailable at this time,Castleview,ROI,,
Gorey Solar,4,2023-09-06 00:00:00,BANOGE,ROI,-6.271021436,52.64740413
Ballinderry Road (Lisburn Solar Park ),16.92,2017-02-27 00:00:00,Lisburn Main,NI,-6.106107663,54.51767407
Ballyboley (Solar Farm),4.99,2017-02-01 00:00:00,Newtownards Main,NI,-5.569720825,54.57142446
Ballygarvey Road Solar Park,7.106,2018-03-23 00:00:00,Ballymena Main,NI,-6.251816599,54.88273476
Bann Road PV Farm,35.712,2017-03-15 00:00:00,Rasharkin Main,NI,-6.50152121,54.96359903
Dunore Point solar PV Farm,4.995,2018-03-07 00:00:00,Antrim Main,NI,-6.230701077,54.68097596
Finvoy Road Solar Farm,5.364,2017-11-17 00:00:00,Rasharkin Main,NI,-6.492736773,54.96239682
Gibson Farm PV,6.4,2018-03-01 00:00:00,Glengormley Main,NI,-6.015032748,54.67543212
Laurel Hill Road Solar Park,9,2018-02-16 00:00:00,Waringstown Main,NI,-6.266650982,54.40212558
Lough Road PV Farm,25.2,2017-03-03 00:00:00,Lisburn Main,NI,-6.18798834,54.55633183
Maghaberry Road Solar Farm,22.8,2018-01-31 00:00:00,Lisburn Main,NI,-6.176210377,54.51442262
Millar Farm PV,6.27,2017-02-27 00:00:00,Antrim Main,NI,-6.251026333,54.74257407
